,Country Name,Country Code,Continent,Year,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,pol_gen,exl_gen,cddrst_soc,hogrst_soc,hosrst_soc,just_pbadm,free_acexp,free_rel,pow_sxo,exl_eco,exl_geo,exl_pol,exl_soc,labour_share,Income Classification (World Bank Definition),power_soec,power_f,suffrage_f,dmr_f,"Compulsory education, duration (years) - SE.COM.DURS","School enrollment, secondary (% gross) - SE.SEC.ENRR",domestic_movement,slave,suffrage,minwage,si02,si03,si05,si07,fiscal,tariff,ODA,No. of Refugees (No of Accepted Applications)
1416,United Kingdom,GBR,Europe,2005,2532800000000.0,41932.877360000006,88.75,19.65944272,0.9109999999999999,0.153,1.0,1.0,1.0,3.367,2.7539999999999996,2.3569999999999998,2.46,0.132,0.111,0.076,0.109,0.871758528,High income,1.095,1.624,100.0,2.035,11.0,105.42196659999999,0.893,0.7959999999999999,100.0,3.0,1.0,6.1,12.8,54.0,,36.69737,,8647.0
1417,Georgia,GEO,Asia,2005,6410823633.0,1642.7609380000001,64.375,9.361702128,0.805,0.132,0.0,1.0,1.0,1.46,1.194,1.229,1.046,0.203,0.265,0.353,0.21600000000000003,0.879408738,Lower-middle income,1.7519999999999998,1.121,100.0,1.535,9.0,94.39134979,0.8340000000000001,0.845,100.0,,3.8,18.8,17.5,55.6,4.0,54.23197,347000000.0,0.0
1418,Ghana,GHA,Africa,2005,10744675210.0,492.5440562,72.5,10.86956522,0.8420000000000001,0.091,1.0,,1.0,-0.841,2.228,2.37,0.556,0.165,0.35100000000000003,0.177,0.18,0.859574385,Low income,0.638,1.39,100.0,1.9369999999999998,9.0,40.03387070000001,0.9309999999999999,0.8390000000000001,100.0,,13.0,,16.2,65.5,4.5,31.504240000000003,2093000000.0,592.0
1419,Gibraltar,GIB,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.34506,,
1420,Guinea,GIN,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,0.705,0.475,100.0,,,,,,3.0,45.2007,156000000.0,299.0
1421,"Gambia, The",GMB,Africa,2005,1027702254.0,665.7202157,58.75,13.20754717,0.615,0.48700000000000004,0.0,,0.0,-0.92,-0.5379999999999999,0.884,-1.8159999999999998,0.475,0.386,0.506,0.505,0.822759107,Low income,0.002,0.341,100.0,1.445,9.0,,,,,,,,,,3.0,,,
1422,Guinea-Bissau,GNB,Africa,2005,587029054.4,436.47522019999997,40.0,14.0,0.6829999999999999,0.48100000000000004,1.0,1.0,1.0,-0.838,0.527,1.079,-0.9129999999999999,0.598,0.7040000000000001,0.405,0.522,0.926471171,Low income,-0.445,0.723,100.0,1.196,9.0,32.01467896,0.782,0.736,100.0,,,,,,2.5,49.46237,65000000.0,94.0
1423,Equatorial Guinea,GNQ,Africa,2005,8217369093.0,10963.40638,46.25,18.0,0.46399999999999997,0.629,1.0,,1.0,-1.268,-1.933,0.395,-0.852,0.715,0.746,0.865,0.8,,Upper-middle income,-1.57,0.337,100.0,-0.39299999999999996,5.0,26.07249069,0.281,0.735,100.0,,,,,,,79.94429000000001,471000000.0,
1424,Greece,GRC,Europe,2005,247783000000.0,22551.73577,73.125,13.0,0.9229999999999999,0.055999999999999994,1.0,1.0,1.0,1.156,2.863,1.383,1.454,0.084,0.054000000000000006,0.028999999999999998,0.038,,High income,1.7830000000000001,1.963,100.0,2.119,9.0,100.8174896,0.8959999999999999,0.919,100.0,1.0,6.3,6.2,13.2,61.9,,49.53105,,30.0
1425,Grenada,GRD,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,58.54127,95000000.0,
1426,Greenland,GRL,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.55245,,
1427,Guatemala,GTM,North America,2005,26783543667.0,2068.500129,68.125,8.227848101000001,0.632,0.563,1.0,,1.0,-0.276,1.4409999999999998,1.5519999999999998,-0.052000000000000005,0.8490000000000001,0.6829999999999999,0.413,0.8059999999999999,0.8778241459999999,Lower-middle income,0.044000000000000004,0.895,100.0,0.6759999999999999,16.0,41.50666046,0.7829999999999999,0.503,100.0,3.0,2.4,8.5,13.7,43.2,,65.00813000000001,501000000.0,5.0
1428,Guam,GUM,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Guyana,GUY,South America,2005,824880550.3,1105.506825,86.875,30.76923077,0.846,0.424,0.0,,0.0,-0.242,0.425,2.464,0.929,0.506,0.442,0.615,0.5770000000000001,0.902403691,Lower-middle income,0.75,1.114,100.0,1.734,6.0,89.20540619,0.87,0.7,100.0,,,,,,3.5,83.58491,435000000.0,
1431,"Hong Kong SAR, China",HKG,Asia,2005,181570000000.0,26649.7508,86.875,,0.9259999999999999,0.065,0.0,,0.0,2.135,1.7009999999999998,1.357,0.8809999999999999,0.12,0.065,0.129,0.106,,High income,0.251,2.427,100.0,2.244,9.0,82.32208252,,,,,1.4,13.3,14.8,64.8,,,,90.0
1432,Honduras,HND,North America,2005,9757034457.0,1308.09197,66.25,23.4375,0.7440000000000001,0.386,1.0,,1.0,-0.248,2.0269999999999997,1.845,0.451,0.589,0.424,0.27899999999999997,0.47,0.896686082,Lower-middle income,-1.25,0.885,100.0,1.204,9.0,,0.797,0.718,100.0,3.0,,,,,4.5,69.10823,510000000.0,10.0
1434,Croatia,HRV,Europe,2005,45376744002.0,10527.892679999999,76.25,21.71052632,0.915,0.154,1.0,1.0,1.0,0.614,1.758,1.7619999999999998,0.575,0.214,0.14800000000000002,0.226,0.207,0.8257822909999999,Upper-middle income,1.095,1.406,100.0,2.147,8.0,93.17102814,0.9159999999999999,0.883,100.0,,6.2,9.0,15.2,60.0,,74.5334,847000000.0,5.0
1435,Haiti,HTI,North America,2005,7049954289.0,766.6919755,61.25,3.614457831,0.47100000000000003,0.564,1.0,1.0,1.0,-1.235,1.3530000000000002,1.337,-0.654,0.917,0.871,0.33799999999999997,0.637,0.961184239,Low income,-0.938,0.344,0.0,0.855,6.0,,0.6809999999999999,0.583,0.0,1.0,,,,,3.0,58.24533,373000000.0,
1436,Hungary,HUN,Europe,2005,112981000000.0,11200.57695,75.625,9.090909091,0.882,0.034,1.0,1.0,1.0,3.1430000000000002,2.892,2.6180000000000003,1.05,0.091,0.09,0.073,0.08900000000000001,0.7789870809999999,Upper-middle income,1.158,1.749,100.0,2.3890000000000002,13.0,96.2646637,0.929,0.85,100.0,3.0,2.3,8.2,11.6,65.1,,42.72916,,79.0
1441,Indonesia,IDN,Asia,2005,285869000000.0,1263.287332,64.375,11.27272727,0.711,0.42,1.0,,1.0,0.256,1.071,-0.152,0.111,0.606,0.363,0.364,0.495,0.701352718,Lower-middle income,0.005,1.402,100.0,0.757,9.0,60.15428925,0.737,0.695,100.0,1.0,7.6,9.7,19.3,38.1,4.0,36.63178,7945000000.0,5.0
1443,Isle of Man,IMN,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,India,IND,Asia,2005,820382000000.0,714.8610154,62.5,8.287292818,0.687,0.336,1.0,1.0,1.0,0.21100000000000002,1.1740000000000002,0.982,0.392,0.31,0.307,0.228,0.429,0.8695863629999999,Low income,1.194,1.679,100.0,0.483,,53.96905899,0.701,0.6409999999999999,100.0,1.0,5.2,6.4,12.8,60.3,3.0,29.56985,8746000000.0,769.0
1446,Ireland,IRL,Europe,2005,211704000000.0,50891.34809,95.0,13.25301205,0.893,0.095,1.0,1.0,1.0,2.059,2.55,1.97,1.729,0.067,0.073,0.033,0.052000000000000005,0.732437743,High income,1.344,1.2229999999999999,100.0,2.0540000000000003,10.0,109.7843018,0.9079999999999999,0.914,100.0,,0.7,4.7,12.0,75.1,,44.68544,,541.0
1447,"Iran, Islamic Rep.",IRN,Asia,2005,226452000000.0,3246.051122,26.25,4.137931034,0.405,0.82,0.0,0.0,1.0,0.816,-0.743,-1.679,-2.03,0.39799999999999996,0.442,0.8029999999999999,0.633,0.759560525,Lower-middle income,0.9420000000000001,-0.27899999999999997,100.0,-0.6629999999999999,8.0,77.23351288,,,,,,,,,,,,52.0
1448,Iraq,IRQ,Asia,2005,49954890353.0,1855.522348,33.125,,0.43799999999999994,0.8170000000000001,1.0,1.0,1.0,-1.652,0.33,-0.265,-1.1740000000000002,0.731,0.6990000000000001,0.8740000000000001,0.7829999999999999,0.644528346,Lower-middle income,1.2830000000000001,-0.17300000000000001,100.0,-0.9570000000000001,6.0,,0.39399999999999996,0.644,100.0,,,,,,,61.0582,20698000000.0,
1449,Iceland,ISL,Europe,2005,16852963067.0,56794.85016,94.375,33.33333333,0.925,0.08900000000000001,1.0,1.0,1.0,1.9180000000000001,2.1830000000000003,2.431,2.191,0.047,0.10300000000000001,0.092,0.081,,High income,1.821,2.324,100.0,2.303,10.0,111.2472534,0.935,0.9009999999999999,100.0,,1.1,7.4,12.8,112.9,,60.78329,,0.0
1450,Israel,ISR,Asia,2005,142661000000.0,20585.63748,75.0,15.0,0.88,0.11800000000000001,1.0,1.0,1.0,1.962,2.229,1.535,1.3659999999999999,0.163,0.1,0.293,0.314,0.835028494,High income,0.56,1.77,100.0,1.075,11.0,105.9618378,0.743,0.7959999999999999,100.0,,2.3,5.6,10.7,,,49.350190000000005,,5.0
1451,Italy,ITA,Europe,2005,1857520000000.0,32043.140369999997,83.125,11.52597403,0.902,0.059000000000000004,1.0,1.0,1.0,1.2790000000000001,3.205,2.182,2.151,0.054000000000000006,0.066,0.024,0.034,0.844190103,High income,1.263,2.165,100.0,2.563,12.0,99.28780365,0.951,0.7390000000000001,100.0,2.0,5.3,7.6,10.6,47.4,,36.51928,,904.0
1452,Jamaica,JAM,North America,2005,11243868486.0,4103.601637,59.375,11.66666667,0.887,0.065,1.0,1.0,1.0,0.976,2.775,1.715,0.475,0.253,0.08199999999999999,0.126,0.124,0.860154396,Lower-middle income,1.551,2.5180000000000002,100.0,2.455,6.0,89.65286255,0.919,0.768,100.0,,,,,,,69.74833000000001,-1727000000.0,
1453,Jordan,JOR,Asia,2005,12588665303.0,2183.394643,26.25,5.454545455,0.573,0.377,1.0,1.0,1.0,-0.344,0.332,-0.031,-1.6159999999999999,0.433,0.319,0.348,0.488,0.929101519,Lower-middle income,-0.162,-0.218,100.0,-0.45,10.0,84.40345764,0.609,0.7240000000000001,100.0,,6.6,8.2,17.6,78.4,,76.44928,879000000.0,48.0
1454,Japan,JPN,Asia,2005,4755410000000.0,37217.64873,79.375,8.958333332999999,0.813,0.138,1.0,1.0,1.0,2.17,2.611,2.221,0.562,0.018000000000000002,0.035,0.036000000000000004,0.03,0.799407412,High income,1.406,1.179,100.0,2.325,9.0,,0.9329999999999999,0.878,100.0,3.0,1.8,4.8,12.5,79.3,,28.71745,,41.0
1455,Kazakhstan,KAZ,Asia,2005,57123671734.0,3771.278957,64.375,10.38961039,0.785,0.239,1.0,1.0,0.0,-0.7240000000000001,-0.31,-0.218,-1.058,0.41600000000000004,0.24600000000000002,0.22,0.306,0.5806010970000001,Lower-middle income,-1.06,0.88,100.0,1.651,9.0,,0.847,0.742,100.0,,,13.0,14.9,,,76.68370999999999,1975000000.0,127.0
1456,Kenya,KEN,Africa,2005,18737897745.0,511.6163943,51.875,7.142857143,0.586,0.573,1.0,,1.0,0.46299999999999997,1.916,1.7469999999999999,-0.941,0.555,0.45899999999999996,0.49700000000000005,0.59,0.832654309,Low income,0.545,0.514,100.0,0.40700000000000003,8.0,46.99057007,0.56,0.669,100.0,,,,16.3,24.8,4.0,62.514880000000005,1070000000.0,29853.0
1457,Kyrgyz Republic,KGZ,Asia,2005,2460248026.0,476.55213,76.25,0.0,0.619,0.324,1.0,1.0,0.0,-0.423,0.49,0.289,-1.84,0.439,0.34299999999999997,0.23600000000000002,0.39899999999999997,0.844886866,Low income,0.125,0.444,100.0,0.33799999999999997,9.0,86.5827713,,,,,,,,,3.5,,,510.0
1458,Cambodia,KHM,Asia,2005,6293046162.0,474.1111921,63.125,9.756097561,0.5479999999999999,0.531,1.0,1.0,1.0,-1.042,-0.105,0.212,-0.142,0.7809999999999999,0.586,0.518,0.626,0.881496327,Low income,-1.338,0.613,100.0,1.4680000000000002,,,0.836,0.45899999999999996,100.0,,,,,,3.5,54.56234,470000000.0,382.0
1459,Kiribati,KIR,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,71.55963,28000000.0,
1460,St. Kitts and Nevis,KNA,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,"Korea, Rep.",KOR,Asia,2005,934901000000.0,19402.502630000003,76.25,13.37792642,0.883,0.19899999999999998,1.0,,1.0,2.7539999999999996,2.354,2.645,-0.182,0.08900000000000001,0.11800000000000001,0.051,0.042,0.8222560459999999,High income,0.8640000000000001,1.608,100.0,2.522,9.0,97.06839752,,,,,1.2,9.3,13.0,131.4,,,,5.0
1462,Kuwait,KWT,Asia,2005,80798630137.0,35591.037130000004,26.25,1.5384615380000002,0.392,0.62,0.0,0.0,1.0,-0.242,0.634,-0.24600000000000002,-2.1180000000000003,0.209,0.243,0.22899999999999998,0.38299999999999995,0.9113093000000001,High income,0.239,-1.1520000000000001,100.0,-0.201,9.0,109.60141750000001,0.5670000000000001,0.231,100.0,,4.1,13.0,21.1,48.1,,70.8883,,0.0
1464,Lao PDR,LAO,Asia,2005,2735558726.0,475.61079620000004,70.625,22.93577982,0.45799999999999996,0.386,1.0,1.0,1.0,-1.464,-3.03,-1.121,0.113,0.618,0.6920000000000001,0.493,0.596,0.826587135,Low income,0.111,0.317,100.0,-0.6920000000000001,5.0,43.63906097,,,,,,,,,3.5,,,
1465,Lebanon,LBN,Asia,2005,21497336499.0,4575.107459000001,50.0,4.6875,0.516,0.619,1.0,1.0,1.0,-0.736,1.008,1.226,-1.662,0.42100000000000004,0.19699999999999998,0.6,0.364,0.845029897,Upper-middle income,-0.674,-0.799,100.0,-0.086,9.0,,0.541,0.7490000000000001,100.0,,16.4,7.5,22.9,50.2,,56.0072,374000000.0,18.0
1466,Liberia,LBR,Africa,2005,949000000.0,294.8932201,66.25,12.5,0.863,0.42100000000000004,0.0,,0.0,-0.903,2.133,1.5219999999999998,0.539,0.682,0.818,0.581,0.5329999999999999,0.714340938,Low income,0.93,2.188,0.0,1.902,6.0,,0.885,0.873,0.0,1.0,,,,,,34.15698,-2328000000.0,
1467,Libya,LBY,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,0.389,0.36,100.0,3.0,,,,,,73.67886,524000000.0,
1468,St. Lucia,LCA,North America,2005,1135555556.0,6949.204173,80.625,11.11111111,,,,,,,,,,,,,,0.811507977,Upper-middle income,,,,,10.0,77.89299011,,,,,,,,,3.5,,,
1472,Liechtenstein,LIE,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1473,Sri Lanka,LKA,Asia,2005,24405791045.0,1248.698185,63.125,4.8888888889999995,0.633,0.259,1.0,,1.0,-0.865,0.326,1.053,-1.581,0.396,0.292,0.513,0.539,0.9298376340000001,Lower-middle income,0.737,0.731,100.0,0.262,9.0,,0.526,0.8320000000000001,100.0,,,,,,3.0,34.14416,1115000000.0,63.0
1476,Lesotho,LSO,Africa,2005,1682350935.0,842.812631,52.5,11.66666667,0.768,0.37,0.0,1.0,1.0,0.141,1.114,1.962,1.19,0.337,0.501,0.5710000000000001,0.23399999999999999,1.204569083,Lower-middle income,1.3,1.578,100.0,1.083,,38.51556015,0.8420000000000001,0.858,100.0,,3.0,10.2,22.0,167.0,4.0,37.93103,51000000.0,
1478,Lithuania,LTU,Europe,2005,26097677572.0,7854.765279000001,88.75,21.985815600000002,0.94,0.03,1.0,1.0,1.0,1.268,2.676,2.029,1.05,0.049,0.08199999999999999,0.031,0.025,0.860176033,Upper-middle income,0.826,1.53,100.0,2.49,10.0,104.4972382,0.9359999999999999,0.887,100.0,,0.6,7.9,10.3,146.5,,36.58559,,15.0
1479,Luxembourg,LUX,Europe,2005,37347394603.0,80289.69641,91.25,23.33333333,0.8859999999999999,0.083,1.0,1.0,1.0,3.275,2.727,1.5530000000000002,2.079,0.034,0.047,0.02,0.08199999999999999,0.823144164,High income,1.723,2.204,100.0,2.075,11.0,95.36266327,0.9009999999999999,0.915,100.0,,0.2,4.9,15.4,,,47.16252,,97.0
1480,Latvia,LVA,Europe,2005,16959313006.0,7575.183393000001,94.375,21.0,0.951,0.027999999999999997,1.0,1.0,1.0,1.876,2.364,1.8940000000000001,1.7480000000000002,0.048,0.087,0.027000000000000003,0.048,0.7690676909999999,Upper-middle income,0.6890000000000001,2.0580000000000003,100.0,2.465,11.0,102.68631740000001,0.934,0.948,100.0,,0.7,7.6,10.1,98.8,,34.891659999999995,,0.0
1481,"Macao SAR, China",MAC,Asia,2005,12160002996.0,25183.132680000002,,,,,,,,,,,,,,,,,High income,,,,,10.0,86.2536087,,,,,,,,,,,,
1483,Morocco,MAR,Africa,2005,62343022651.0,2018.025547,73.125,10.76923077,0.701,0.38,1.0,1.0,1.0,-0.40700000000000003,0.368,-1.3869999999999998,-1.767,0.321,0.23800000000000002,0.322,0.348,0.886127366,Lower-middle income,-0.3,0.21100000000000002,100.0,-0.885,9.0,50.3502388,0.57,0.843,100.0,1.0,15.7,7.7,11.5,67.1,,54.271359999999994,2224000000.0,24.0
1484,Monaco,MCO,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Moldova,MDA,Europe,2005,2988348836.0,1034.707058,66.875,21.78217822,0.8440000000000001,0.10800000000000001,1.0,1.0,0.0,-0.013000000000000001,0.419,0.441,-0.721,0.21100000000000002,0.191,0.251,0.213,0.941942408,Lower-middle income,0.205,0.7559999999999999,100.0,1.8119999999999998,9.0,88.06252289,0.8640000000000001,0.753,100.0,,5.3,15.7,27.2,98.9,3.5,82.07473,158000000.0,30.0
1486,Madagascar,MDG,Africa,2005,5859269849.0,319.5374751,60.625,6.875,0.6609999999999999,0.528,1.0,1.0,1.0,0.258,1.5590000000000002,0.183,-1.709,0.785,0.6920000000000001,0.434,0.617,0.877021375,Low income,0.155,0.369,100.0,1.0490000000000002,5.0,21.46611023,0.777,0.607,100.0,1.0,,,,,3.0,60.05729,723000000.0,
1487,Maldives,MDV,Asia,2005,1163362438.0,3640.012132,44.375,12.0,0.638,0.392,0.0,,0.0,-1.251,-1.185,-2.6430000000000002,-1.262,0.19399999999999998,0.392,0.42100000000000004,0.231,0.872329322,Lower-middle income,0.607,0.943,100.0,-0.358,7.0,,0.619,0.695,100.0,,,,,,3.5,42.5187,124000000.0,
1489,Mexico,MEX,North America,2005,877476000000.0,8277.671564,72.5,24.2,0.7120000000000001,0.534,1.0,,1.0,0.253,2.015,1.3259999999999998,0.381,0.7090000000000001,0.522,0.281,0.495,0.789218167,Upper-middle income,0.159,0.34700000000000003,100.0,0.858,11.0,82.30407715,0.738,0.586,100.0,3.0,1.5,8.8,14.3,242.2,,56.90903,17080000000.0,117.0
1490,Marshall Islands,MHL,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2793000000.0,
1492,North Macedonia,MKD,Europe,2005,6257800771.0,3037.35452,70.625,19.16666667,0.853,0.153,1.0,1.0,1.0,0.997,0.7759999999999999,1.117,0.39299999999999996,0.20600000000000002,0.204,0.38799999999999996,0.13699999999999998,0.7786112409999999,Lower-middle income,-0.28300000000000003,0.843,100.0,1.3880000000000001,9.0,81.52539825,0.875,0.857,100.0,,15.0,15.8,21.3,94.2,,83.42255,382000000.0,10.0
1493,Mali,MLI,Africa,2005,6247515450.0,489.0228209,49.375,10.20408163,0.711,0.63,1.0,1.0,1.0,-0.509,2.572,0.085,1.36,0.637,0.715,0.593,0.39799999999999996,0.878524229,Low income,1.1,1.054,100.0,0.857,9.0,25.83254051,0.813,0.627,100.0,,,,,,4.0,54.03938,771000000.0,22.0
1494,Malta,MLT,Europe,2005,6416184181.0,15888.17232,72.5,9.230769231,0.8490000000000001,0.124,1.0,1.0,1.0,1.965,1.8619999999999999,1.943,0.8370000000000001,0.11800000000000001,0.085,0.37,0.161,,High income,1.3530000000000002,1.6740000000000002,100.0,1.186,11.0,101.9356308,0.762,0.888,100.0,,7.4,12.0,17.1,,,47.759409999999995,,25.0
1495,Myanmar,MMR,Asia,2005,10573312525.0,216.00260330000003,53.75,,0.304,0.701,1.0,1.0,1.0,-1.965,-1.817,-0.65,-0.847,0.721,0.792,0.878,0.8740000000000001,1.06815505,Low income,0.852,0.066,0.0,-1.006,5.0,44.33734894,,,,,,,,,,39.043440000000004,131000000.0,
1497,Montenegro,MNE,Europe,2005,2257174481.0,3674.617924,67.5,,,0.402,1.0,1.0,1.0,-0.102,0.08,1.474,-1.014,0.28,0.322,0.626,0.488,,Lower-middle income,0.21,0.242,100.0,1.431,9.0,94.48577118,0.843,0.8690000000000001,100.0,1.0,,,,,,,,
1498,Mongolia,MNG,Asia,2005,2523471532.0,998.8293880000001,67.5,6.666666667,0.8220000000000001,0.21,1.0,1.0,1.0,1.008,1.771,2.164,0.27699999999999997,0.264,0.28600000000000003,0.192,0.217,0.81343148,Low income,1.2570000000000001,1.246,100.0,2.392,9.0,90.29856873,0.9329999999999999,0.782,100.0,,,,,,3.5,49.802890000000005,179000000.0,
1500,Mozambique,MOZ,Africa,2005,8542070110.0,416.80982420000004,59.375,34.8,0.792,0.342,1.0,,1.0,-0.546,1.2429999999999999,2.0,-0.602,0.502,0.6409999999999999,0.541,0.45799999999999996,0.8494945620000001,Low income,0.573,1.126,100.0,0.91,,13.44468975,0.7829999999999999,0.794,100.0,,3.5,6.6,13.4,88.8,4.0,52.54902,1282000000.0,0.0
1501,Mauritania,MRT,Africa,2005,2936019526.0,970.8423607000001,41.875,,0.485,0.84,1.0,1.0,0.0,0.627,1.263,-1.9480000000000002,-1.1420000000000001,0.816,0.948,0.884,0.924,0.8672975490000001,Low income,-0.93,-0.614,0.0,1.416,9.0,22.31612015,0.7559999999999999,0.242,0.0,,,,,,2.5,51.03093,191000000.0,152.0
1502,Mauritius,MUS,Africa,2005,6488750453.0,5282.906022,71.875,17.14285714,0.782,0.102,0.0,1.0,1.0,1.71,1.421,1.429,-0.091,0.085,0.037000000000000005,0.11800000000000001,0.165,0.8945284029999999,Upper-middle income,0.6559999999999999,1.004,100.0,0.973,11.0,88.65556335,0.8390000000000001,0.861,100.0,,,,,,,44.98106,147000000.0,
1503,Malawi,MWI,Africa,2005,3655909664.0,289.5552148,60.0,13.61256545,0.743,0.552,0.0,,1.0,-0.512,0.503,1.348,-0.682,0.608,0.6829999999999999,0.47700000000000004,0.445,0.85196272,Low income,0.511,0.828,100.0,1.4240000000000002,8.0,28.04204941,0.8759999999999999,0.72,100.0,,,,,,3.0,65.73482,572000000.0,753.0
1504,Malaysia,MYS,Asia,2005,143534000000.0,5587.02478,46.875,9.132420091,0.669,0.43799999999999994,1.0,1.0,1.0,-0.373,0.01,-0.344,-0.655,0.433,0.287,0.509,0.531,0.7081597390000001,Upper-middle income,0.534,0.602,100.0,1.131,6.0,80.66024017,0.7390000000000001,0.6,100.0,,9.4,7.7,13.7,30.0,,40.55281,724000000.0,10923.0
1506,Namibia,NAM,Africa,2005,7248394161.0,3739.531718,73.75,26.92307692,0.825,0.32299999999999995,1.0,,1.0,1.41,1.694,2.3480000000000003,0.7909999999999999,0.424,0.48100000000000004,0.215,0.332,0.864877693,Lower-middle income,1.165,0.645,100.0,1.578,7.0,63.51296997,0.856,0.644,100.0,,2.3,7.8,14.6,,,58.320209999999996,158000000.0,324.0
1507,New Caledonia,NCL,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.50392,,
1508,Niger,NER,Africa,2005,4383315657.0,321.7236612,56.25,12.38938053,0.6920000000000001,0.23600000000000002,1.0,1.0,1.0,0.45899999999999996,2.585,0.539,0.616,0.278,0.413,0.215,0.147,0.97448386,Low income,1.213,0.987,100.0,1.222,,9.631489754,0.77,0.59,100.0,,,,,,3.0,51.4719,397000000.0,0.0
1509,Nigeria,NGA,Africa,2005,176134000000.0,1268.383462,54.375,6.3888888889999995,0.695,0.6559999999999999,1.0,,1.0,-1.02,2.3369999999999997,1.689,-0.638,0.657,0.6759999999999999,0.705,0.628,0.730256509,Low income,0.34700000000000003,0.43700000000000006,100.0,1.068,9.0,34.95774841,0.7609999999999999,0.755,100.0,,,,,,4.0,34.86438,7582000000.0,1400.0
1510,Nicaragua,NIC,North America,2005,6321335612.0,1162.289685,63.75,20.65217391,0.7559999999999999,0.48100000000000004,1.0,,1.0,-0.17600000000000002,1.8030000000000002,2.073,-0.22899999999999998,0.645,0.818,0.799,0.6629999999999999,0.9171195459999999,Lower-middle income,-0.508,0.795,100.0,1.679,6.0,68.19142151,0.8590000000000001,0.804,100.0,3.0,,,,,4.0,64.23473,575000000.0,10.0
1511,Netherlands,NLD,Europe,2005,685093000000.0,41979.05585,89.375,36.66666667,0.9390000000000001,0.035,1.0,1.0,1.0,2.536,2.245,2.408,3.214,0.02,0.053,0.023,0.027000000000000003,0.822269385,High income,1.9709999999999999,2.707,100.0,1.835,13.0,118.3736115,0.885,0.894,100.0,2.0,,3.1,12.6,65.5,,39.26412,,947.0
1512,Norway,NOR,Europe,2005,308884000000.0,66810.47852,94.375,37.86982249,0.9570000000000001,0.02,1.0,1.0,1.0,3.105,3.142,2.6889999999999996,2.117,0.013000000000000001,0.036000000000000004,0.012,0.015,0.7835854240000001,High income,2.1830000000000003,3.367,100.0,2.224,10.0,113.759491,0.935,0.927,100.0,2.0,0.7,7.4,11.9,109.3,,48.56487,,615.0
1513,Nepal,NPL,Asia,2005,8130258041.0,315.80563,46.875,5.853658537,0.5710000000000001,0.536,1.0,,0.0,0.68,0.935,0.8859999999999999,-0.74,0.311,0.721,0.8190000000000001,0.614,0.955593406,Low income,1.294,0.87,0.0,0.429,,48.14907837,0.542,0.5760000000000001,0.0,1.0,,,,,3.5,51.735170000000004,397000000.0,17.0
1514,Nauru,NRU,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29787,12000000.0,
1515,New Zealand,NZL,Oceania,2005,114720000000.0,27751.065469999998,89.375,32.23140496,0.95,0.055,1.0,1.0,1.0,3.228,2.9530000000000003,2.722,2.176,0.18,0.081,0.04,0.064,0.792272537,High income,1.111,3.1919999999999997,100.0,2.614,10.0,120.24765009999999,0.9540000000000001,0.731,100.0,1.0,,,,,,40.20492,,192.0
1517,Oman,OMN,Asia,2005,31081991725.0,12377.08003,35.625,2.4096385540000003,0.37200000000000005,0.726,1.0,,1.0,0.9790000000000001,-1.526,-0.172,-1.7369999999999999,0.425,0.39399999999999996,0.247,0.57,0.5509447789999999,Upper-middle income,-0.7759999999999999,-0.794,100.0,-0.518,,87.66512299,0.48,0.267,100.0,,7.0,14.6,18.5,97.4,,62.805409999999995,2374000000.0,0.0
1519,Pakistan,PAK,Asia,2005,120055000000.0,748.9225892999999,38.125,21.34502924,0.6,0.331,1.0,0.0,0.0,-1.2329999999999999,1.219,-1.057,-2.113,0.551,0.371,0.324,0.374,0.884353005,Low income,-0.6629999999999999,1.2590000000000001,100.0,-0.924,12.0,25.63673973,0.511,0.551,100.0,,8.3,7.9,11.3,76.7,3.5,24.1142,2437000000.0,386.0
1520,Panama,PAN,North America,2005,16374393900.0,4916.907612,73.75,16.66666667,0.823,0.195,1.0,,1.0,1.042,2.44,1.556,-1.58,0.35600000000000004,0.359,0.161,0.252,0.86016723,Upper-middle income,0.626,1.115,100.0,1.9069999999999998,11.0,67.9956665,0.848,0.87,100.0,,1.8,12.8,16.8,116.2,,29.42407,5951000000.0,51.0
